"module name","licenses"
"forwarded@0.2.0","MIT"
"fraction.js@4.3.7","MIT"
"fresh@0.5.2","MIT"
"function-bind@1.1.2","MIT"
"get-intrinsic@1.2.4","MIT"
"globals@11.12.0","MIT"
"gopd@1.0.1","MIT"
"has-ansi@2.0.0","MIT"
"has-flag@1.0.0","MIT"
"has-flag@3.0.0","MIT"
"has-property-descriptors@1.0.2","MIT"
"has-proto@1.0.3","MIT"
"has-symbols@1.0.3","MIT"
"has-tostringtag@1.0.2","MIT"
"hasown@2.0.2","MIT"
"hoist-non-react-statics@3.3.2","BSD-3-Clause"
"http-errors@2.0.0","MIT"
"iconv-lite@0.4.24","MIT"
"indexes-of@1.0.1","MIT"
"inherits@2.0.4","ISC"
"ipaddr.js@1.9.1","MIT"
"is-arguments@1.1.1","MIT"
"is-callable@1.2.7","MIT"
"is-docker@2.2.1","MIT"
"is-generator-function@1.0.10","MIT"
"is-typed-array@1.1.13","MIT"
"is-wsl@2.2.0","MIT"
"js-base64@2.6.4","BSD-3-Clause"
"js-tokens@4.0.0","MIT"
"jsdoc-type-pratt-parser@4.1.0","MIT"
"jsesc@2.5.2","MIT"
"lodash@4.17.21","MIT"
"loose-envify@1.4.0","MIT"
"media-typer@0.3.0","MIT"
"merge-descriptors@1.0.3","MIT"
"methods@1.1.2","MIT"
"mime-db@1.52.0","MIT"
"mime-types@2.1.35","MIT"
"mime@1.6.0","MIT"
"ms@2.0.0","MIT"
"ms@2.1.2","MIT"
"ms@2.1.3","MIT"
"nanoid@3.3.7","MIT"
"negotiator@0.6.3","MIT"
"node-releases@2.0.18","MIT"
"normalize-range@0.1.2","MIT"
"normalize.css@8.0.1","MIT"
"num2fraction@1.2.2","MIT"
"object-assign@4.1.1","MIT"
"object-inspect@1.13.2","MIT"
"on-finished@2.4.1","MIT"
"open@8.4.2","MIT"
"parseurl@1.3.3","MIT"
"path-to-regexp@0.1.10","MIT"
"picocolors@0.2.1","ISC"
"picocolors@1.1.0","ISC"
"picomatch@2.3.1","MIT"
"possible-typed-array-names@1.0.0","MIT"
"postcss-advanced-variables@3.0.1","CC0-1.0"
"postcss-atroot@0.1.3","MIT"
"postcss-attribute-case-insensitive@4.0.2","MIT"
"postcss-attribute-case-insensitive@7.0.0","MIT"
"postcss-clamp@4.1.0","MIT"
"postcss-color-functional-notation@2.0.1","CC0-1.0"
"postcss-color-functional-notation@7.0.2","MIT-0"
"postcss-color-gray@5.0.0","ISC"
"postcss-color-hex-alpha@10.0.0","MIT"
"postcss-color-hex-alpha@5.0.3","MIT"
"postcss-color-mod-function@3.0.3","CC0-1.0"
"postcss-color-rebeccapurple@10.0.0","MIT-0"
"postcss-color-rebeccapurple@4.0.1","MIT"
"postcss-custom-media@11.0.1","MIT"
"postcss-custom-media@7.0.8","MIT"
"postcss-custom-properties@14.0.1","MIT"
"postcss-custom-properties@8.0.11","MIT"
"postcss-custom-selectors@5.1.2","MIT"
"postcss-custom-selectors@8.0.1","MIT"
"postcss-dir-pseudo-class@5.0.0","CC0-1.0"
"postcss-dir-pseudo-class@9.0.0","MIT-0"
"postcss-double-position-gradients@1.0.0","CC0-1.0"
"postcss-double-position-gradients@6.0.0","MIT-0"
"postcss-env-function@2.0.2","CC0-1.0"
"postcss-extend-rule@2.0.0","CC0-1.0"
"postcss-focus-visible@10.0.0","MIT-0"
"postcss-focus-visible@4.0.0","CC0-1.0"
"postcss-focus-within@3.0.0","CC0-1.0"
"postcss-focus-within@9.0.0","MIT-0"
"postcss-font-variant@4.0.1","MIT"
"postcss-font-variant@5.0.0","MIT"
"postcss-gap-properties@2.0.0","CC0-1.0"
"postcss-gap-properties@6.0.0","MIT-0"
"postcss-image-set-function@3.0.1","CC0-1.0"
"postcss-image-set-function@7.0.0","MIT-0"
"postcss-initial@3.0.4","MIT"
"postcss-lab-function@2.0.1","CC0-1.0"
"postcss-lab-function@7.0.2","MIT-0"
"postcss-logical@3.0.0","CC0-1.0"
"postcss-logical@8.0.0","MIT-0"
"postcss-media-minmax@4.0.0","MIT"
"postcss-nested@4.2.3","MIT"
"postcss-nesting@13.0.0","MIT-0"
"postcss-nesting@5.0.0","CC0-1.0"
"postcss-nesting@7.0.1","CC0-1.0"
"postcss-opacity-percentage@3.0.0","MIT"
"postcss-overflow-shorthand@2.0.0","CC0-1.0"
"postcss-overflow-shorthand@6.0.0","MIT-0"
"postcss-page-break@2.0.0","MIT"
"postcss-page-break@3.0.4","MIT"
"postcss-place@10.0.0","MIT-0"
"postcss-place@4.0.1","CC0-1.0"
"postcss-preset-env@10.0.3","MIT-0"
"postcss-preset-env@6.7.2","CC0-1.0"
"postcss-property-lookup@2.0.0","MIT"
"postcss-pseudo-class-any-link@10.0.0","MIT-0"
"postcss-pseudo-class-any-link@6.0.0","CC0-1.0"
"postcss-replace-overflow-wrap@3.0.0","MIT"
"postcss-replace-overflow-wrap@4.0.0","MIT"
"postcss-selector-matches@4.0.0","MIT"
"postcss-selector-not@4.0.1","MIT"
"postcss-selector-not@8.0.0","MIT"
"postcss-selector-parser@5.0.0","MIT"
"postcss-selector-parser@6.1.2","MIT"
"postcss-value-parser@4.2.0","MIT"
"postcss-values-parser@2.0.1","MIT"
"postcss@5.2.18","MIT"
"postcss@6.0.23","MIT"
"postcss@7.0.39","MIT"
"postcss@8.4.47","MIT"
"precss@4.0.0","CC0-1.0"
"process@0.11.10","MIT"
"proxy-addr@2.0.7","MIT"
"qs@6.13.0","BSD-3-Clause"
"range-parser@1.2.1","MIT"
"raw-body@2.5.2","MIT"
"react-dom@17.0.2","MIT"
"react-is@16.13.1","MIT"
"react-is@18.2.0","MIT"
"react@17.0.2","MIT"
"recast@0.23.9","MIT"
"safe-buffer@5.2.1","MIT"
"safer-buffer@2.1.2","MIT"
"scheduler@0.20.2","MIT"
"semver@7.6.3","ISC"
"send@0.19.0","MIT"
"serve-static@1.16.2","MIT"
"set-function-length@1.2.2","MIT"
"setprototypeof@1.2.0","ISC"
"shallowequal@1.1.0","MIT"
